year,date,event_name,tour,field_size,field_strength_mean,field_strength_q25,field_strength_q75,field_strength_q10,field_strength_q90
2019,"2019-11-24","DP World Tour Championship, Dubai","EURO",50,0.49,0.15,0.87,-0.25,1.27
2019,"2019-11-17","Nedbank Golf Challenge hosted by Gary Player","EURO",63,-0.01,-0.37,0.49,-0.73,0.77
2019,"2019-11-10","Turkish Airlines Open","EURO",75,-0.16,-0.57,0.39,-0.89,0.77
2019,"2019-10-27","Portugal Masters","EURO",126,-1.23,-1.59,-0.58,-2.66,-0.22
2019,"2019-10-20","Amundi Open de France","EURO",117,-0.92,-1.42,-0.41,-1.87,0.09
2019,"2019-10-13","Italian Open","EURO",137,-0.53,-1.04,-0.02,-1.55,0.56
2019,"2019-10-06","Mutuactivos Open de España","EURO",138,-1.36,-1.84,-0.65,-2.77,-0.38
2019,"2019-09-29","Alfred Dunhill Links Championship","EURO",168,-0.64,-1.19,-0.17,-1.69,0.52
2019,"2019-09-22","BMW PGA Championship","EURO",132,-0.32,-0.82,0.25,-1.46,0.85
2019,"2019-09-15","KLM Open","EURO",155,-1.35,-1.83,-0.69,-2.66,-0.21
2019,"2019-09-08","Porsche European Open","EURO",150,-1.18,-1.79,-0.57,-2.39,-0.01
2019,"2019-09-02","Korn Ferry Tour Championship presented by United Leasing & Finance","KFT",122,-0.64,-0.9,-0.32,-1.15,-0.12
2019,"2019-09-01","Omega European Masters","EURO",155,-0.83,-1.34,-0.19,-1.89,0.36
2019,"2019-08-25","Scandinavian Invitation","EURO",155,-1.08,-1.58,-0.45,-2.07,-0.07
2019,"2019-08-25","Albertsons Boise Open presented by Kraft Nabisco","KFT",130,-0.6,-0.91,-0.3,-1.08,-0.07
2019,"2019-08-25","TOUR Championship","PGA",30,1.32,0.99,1.56,0.86,1.98
2019,"2019-08-18","D+D Real Czech Masters","EURO",156,-1.34,-1.71,-0.57,-2.85,-0.13
2019,"2019-08-18","BMW Championship","PGA",69,0.83,0.42,1.22,-0.02,1.65
2019,"2019-08-18","Nationwide Children's Hospital Championship","KFT",138,-0.63,-0.89,-0.38,-1.1,-0.15
2019,"2019-08-11","WinCo Foods Portland Open presented by KraftHeinz","KFT",155,-1.06,-1.38,-0.72,-1.64,-0.43
2019,"2019-08-11","THE NORTHERN TRUST","PGA",120,0.5,0.09,0.91,-0.24,1.24
2019,"2019-08-04","Wyndham Championship","PGA",155,-0.24,-0.54,0.27,-1.19,0.69
2019,"2019-08-04","Ellie Mae Classic at TPC Stonebrae","KFT",156,-1.43,-1.76,-0.89,-2.5,-0.54
2019,"2019-07-28","Price Cutter Charity Championship presented by Dr Pepper","KFT",154,-1.43,-1.79,-0.79,-2.47,-0.54
2019,"2019-07-28","Barracuda Championship","PGA",130,-1.06,-1.57,-0.23,-3.09,0.1
2019,"2019-07-28","World Golf Championships-FedEx St. Jude Invitational","PGA",63,0.65,0.24,1.26,-0.27,1.55
2019,"2019-07-21","The Open Championship","PGA",156,0.05,-0.55,0.83,-1.38,1.36
2019,"2019-07-21","Pinnacle Bank Championship presented by Chevrolet","KFT",155,-1.22,-1.51,-0.71,-2.22,-0.42
2019,"2019-07-21","Barbasol Championship","PGA",132,-1.11,-1.75,-0.31,-2.83,0.05
2019,"2019-07-14","TPC Colorado Championship at Heron Lakes","KFT",156,-1.34,-1.65,-0.83,-2.62,-0.45
2019,"2019-07-14","Aberdeen Standard Investments Scottish Open","EURO",156,-0.53,-1.08,0.02,-1.51,0.61
2019,"2019-07-14","John Deere Classic","PGA",155,-0.58,-1.04,0.1,-1.82,0.34
2019,"2019-07-07","LECOM Health Challenge","KFT",155,-1.43,-1.83,-0.88,-2.58,-0.52
2019,"2019-07-07","Dubai Duty Free Irish Open","EURO",156,-0.61,-1.07,-0.12,-1.62,0.49
2019,"2019-07-07","3M Open","PGA",155,-0.34,-0.74,0.24,-1.35,0.6
2019,"2019-06-30","Estrella Damm N.A. Andalucía Masters hosted by the Sergio Garcia Foundation","EURO",156,-0.93,-1.44,-0.42,-1.84,-0.08
2019,"2019-06-30","Utah Championship presented by Zions Bank","KFT",156,-1.4,-1.64,-0.86,-2.65,-0.5
2019,"2019-06-30","Rocket Mortgage Classic","PGA",156,-0.29,-0.69,0.22,-1.25,0.64
2019,"2019-06-23","BMW International Open","EURO",156,-0.97,-1.45,-0.38,-2.13,0.11
2019,"2019-06-23","Wichita Open Supporting Wichita's Youth","KFT",155,-1.37,-1.73,-0.89,-2.39,-0.5
2019,"2019-06-23","Travelers Championship","PGA",156,-0.12,-0.6,0.4,-1.03,0.85
2019,"2019-06-16","Lincoln Land Championship presented by LRS","KFT",155,-1.52,-1.88,-0.91,-2.77,-0.55
2019,"2019-06-16","U.S. Open","PGA",156,-0.06,-0.75,0.74,-1.65,1.24
2019,"2019-06-09","RBC Canadian Open","PGA",156,-0.54,-1.08,0.16,-1.69,0.63
2019,"2019-06-09","BMW Charity Pro-Am presented by SYNNEX Corporation","KFT",159,-1.28,-1.76,-0.77,-2.38,-0.44
2019,"2019-06-02","Belgian Knockout","EURO",142,-1.18,-1.5,-0.6,-2.19,-0.19
2019,"2019-06-02","the Memorial Tournament presented by Nationwide","PGA",120,0.26,-0.12,0.73,-0.6,1.16
2019,"2019-06-02","REX Hospital Open","KFT",156,-1.25,-1.7,-0.73,-2.24,-0.46
2019,"2019-05-26","Evans Scholars Invitational","KFT",156,-1.36,-1.82,-0.86,-2.29,-0.48
2019,"2019-05-26","Made in Denmark presented by FREJA","EURO",154,-0.96,-1.47,-0.41,-2.1,-0.05
2019,"2019-05-26","Charles Schwab Challenge","PGA",121,-0.08,-0.41,0.52,-1.04,0.84
2019,"2019-05-19","Knoxville Open","KFT",155,-1.42,-1.81,-0.79,-2.61,-0.51
2019,"2019-05-19","PGA Championship","PGA",156,-0.04,-0.16,0.74,-2.69,1.3
2019,"2019-05-12","KC Golf Classic","KFT",154,-1.41,-1.75,-0.86,-2.37,-0.49
2019,"2019-05-12","AT&T Byron Nelson","PGA",155,-0.47,-0.86,0.15,-1.41,0.52
2019,"2019-05-12","Betfred British Masters","EURO",155,-0.9,-1.39,-0.41,-1.83,0.03
2019,"2019-05-05","Nashville Golf Open Benefitting the Snedeker Foundation","KFT",155,-1.41,-1.77,-0.83,-2.57,-0.48
2019,"2019-05-05","Volvo China Open","EURO",152,-1.84,-2.83,-0.7,-4.46,-0.09
2019,"2019-05-05","Wells Fargo Championship","PGA",156,-0.27,-0.75,0.31,-1.2,0.75
2019,"2019-04-28","Dormie Network Classic at Briggs Ranch","KFT",156,-1.21,-1.58,-0.78,-2.05,-0.43
2019,"2019-04-28","Trophee Hassan II","EURO",154,-1.13,-1.49,-0.42,-2.08,-0.03
2019,"2019-04-21","RBC Heritage","PGA",131,0.1,-0.27,0.45,-0.88,1.09
2019,"2019-04-21","Robert Trent Jones Golf Trail Championship","KFT",156,-1.19,-1.5,-0.78,-2.22,-0.43
2019,"2019-04-14","The Masters","PGA",87,0.23,-0.05,1.11,-1.74,1.5
2019,"2019-04-07","Valero Texas Open","PGA",143,-0.15,-0.4,0.28,-0.96,0.59
2019,"2019-03-31","Savannah Golf Championship","KFT",156,-1.32,-1.63,-0.83,-2.38,-0.48
2019,"2019-03-31","Hero Indian Open","EURO",143,-1.62,-2.38,-0.72,-3.24,-0.3
2019,"2019-03-31","Corales Puntacana Resort & Club Championship","PGA",132,-1.15,-1.58,-0.31,-3.08,0.1
2019,"2019-03-24","Maybank Championship","EURO",155,-1.24,-1.71,-0.53,-2.63,-0.04
2019,"2019-03-24","Chitimacha Louisiana Open presented by MISTRAS","KFT",144,-1.25,-1.63,-0.78,-2.25,-0.39
2019,"2019-03-24","Valspar Championship","PGA",144,-0.2,-0.67,0.26,-1.11,0.91
2019,"2019-03-17","THE PLAYERS Championship","PGA",143,0.42,-0.04,0.91,-0.48,1.38
2019,"2019-03-17","Magical Kenya Open presented by Absa","EURO",142,-2.07,-2.3,-1.02,-4.62,-0.58
2019,"2019-03-10","Commercial Bank Qatar Masters","EURO",143,-1,-1.35,-0.29,-1.91,-0.04
2019,"2019-03-10","Arnold Palmer Invitational presented by Mastercard","PGA",122,0.16,-0.16,0.57,-0.53,1.07
2019,"2019-03-03","The Honda Classic","PGA",143,-0.13,-0.46,0.24,-0.93,0.75
2019,"2019-03-03","Oman Open","EURO",142,-1.06,-1.29,-0.5,-1.9,-0.21
2019,"2019-02-24","World Golf Championships-Mexico Championship","PGA",72,0.69,0.27,1.23,-0.5,1.67
